Meta Data
Label,Value,
Date,4/9/2026
Profile,HillsAndValleys
ScanDuration,10 s
ScanLength,1000 µm
ScanResolution,0.333111 µm
ScanType,Standard Scan
StylusForce,2 mg
StylusScanRange,65.5 µm
StylusType,Radius: 2 μm
Time,11:56:55 AM


Data Leveling Position
R Cursor Position,0.822253219661753 mm
R Cursor Width,0 mm
M Cursor Position,0.603754694557812 mm
M Cursor Width,0 mm


Data
Lateral(mm),Total Profile(nm),,
0,471.364326607401,,
0.000333111259036794,471.310064546723,,
0.000666222518073588,471.710451138817,,
0.000999333777110383,471.409168976004,,
0.00133244503614718,471.52926869489,,
0.00166555629518397,471.948399121314,,
0.00199866755422077,472.173958166689,,
0.00233177881325756,472.328227859741,,
0.00266489007229435,471.907218683342,,
0.00299800133133115,472.110838369839,,
0.00333111259036794,472.607774724619,,
0.00366422384940474,473.210246102326,,
0.00399733510844153,474.280430103646,,
0.00433044636747833,475.674581318628,,
0.00466355762651512,476.588393677404,,
0.00499666888555191,476.914769759873,,
0.00532978014458871,476.468882927578,,
0.0056628914036255,476.32591527669,,
0.0059960026626623,476.406694033986,,
0.00632911392169909,476.245821251179,,
0.00666222518073588,476.324341618689,,
0.00699533643977268,476.041027304297,,
0.00732844769880947,476.225349292188,,
0.00766155895784627,475.797732536198,,
0.00799467021688306,475.481936695706,,
0.00832778147591986,474.868940084561,,
0.00866089273495665,474.324998464581,,
0.00899400399399344,475.04039702554,,
0.00932711525303024,476.36555131207,,
0.00966022651206703,478.658611119509,,
0.00999333777110383,482.11872953712,,
0.0103264490301406,487.566748011857,,
0.0106595602891774,495.7338788166,,
0.0109926715482142,505.990373433597,,
0.011325782807251,517.988785500149,,
0.0116588940662878,531.270223742491,,
0.0119920053253246,543.980450507672,,
0.0123251165843614,548.562688037159,,
0.0126582278433982,544.31285937975,,
0.012991339102435,534.297005452268,,
0.0133244503614718,521.10158397872,,
0.0136575616205086,508.76672261862,,
0.0139906728795454,498.509515584115,,
0.0143237841385822,494.016864815616,,
0.0146568953976189,491.591857331881,,
0.0149900066566557,489.087273098645,,
0.0153231179156925,487.510140485055,,
0.0156562291747293,485.513462200004,,
0.0159893404337661,483.845812487492,,
0.0163224516928029,482.442731002025,,
0.0166555629518397,481.72236783721,,
0.0169886742108765,480.539549824013,,
0.0173217854699133,479.913573085226,,
0.0176548967289501,479.230940310087,,
0.0179880079879869,478.840073534835,,
0.0183211192470237,478.518237522541,,
0.0186542305060605,477.685923771746,,
0.0189873417650973,477.709391031403,,
0.0193204530241341,478.047359718778,,
0.0196535642831709,479.414696668822,,
0.0199866755422077,480.429035926424,,
0.0203197868012444,480.601223900448,,
0.0206528980602812,480.925013045408,,
0.020986009319318,480.647872524825,,
0.0213191205783548,480.232334160234,,
0.0216522318373916,480.311624073051,,
0.0219853430964284,480.076748608559,,
0.0223184543554652,480.375836323464,,
0.022651565614502,480.497450305388,,
0.0229846768735388,480.415924215247,,
0.0233177881325756,480.11647335554,,
0.0236508993916124,480.082208290917,,
0.0239840106506492,479.842607074376,,
0.024317121909686,479.515856580163,,
0.0246502331687228,479.478526035341,,
0.0249833444277596,479.393331749149,,
0.0253164556867964,479.405158361868,,
0.0256495669458332,479.333084192302,,
0.0259826782048699,479.529077515117,,
0.0263157894639067,479.70296824078,,
0.0266489007229435,481.461531565082,,
0.0269820119819803,483.9823696498,,
0.0273151232410171,488.380321147229,,
0.0276482345000539,493.850996823562,,
0.0279813457590907,501.388463931164,,
0.0283144570181275,510.817164006457,,
0.0286475682771643,523.027630072652,,
0.0289806795362011,536.168275583407,,
0.0293137907952379,546.462965287751,,
0.0296469020542747,549.674093653681,,
0.0299800133133115,546.974424844846,,
0.0303131245723483,538.235209737316,,
0.0306462358313851,525.897529774753,,
0.0309793470904219,511.454820733145,,
0.0313124583494587,501.241989511391,,
0.0316455696084955,497.366612333048,,
0.0319786808675322,493.931799865916,,
0.032311792126569,490.924682782032,,
0.0326449033856058,488.698237626039,,
0.0329780146446426,486.909965308307,,
0.0333111259036794,485.380325289792,,
0.0336442371627162,484.027238054964,,
0.033977348421753,482.781425752869,,
0.0343104596807898,482.091230453545,,
0.0346435709398266,481.361878346099,,
0.0349766821988634,480.74379073655,,
0.0353097934579002,480.922876719723,,
0.035642904716937,481.518992231233,,
0.0359760159759738,482.710574127262,,
0.0363091272350106,484.626938772533,,
0.0366422384940474,486.586561768106,,
0.0369753497530842,488.895261030056,,
0.037308461012121,491.5712032935,,
0.0376415722711577,492.663207771868,,
0.0379746835301945,491.561315465823,,
0.0383077947892313,488.304853579483,,
0.0386409060482681,487.242447043187,,
0.0389740173073049,487.796129706554,,
0.0393071285663417,486.934924517095,,
0.0396402398253785,485.865640423936,,
0.0399733510844153,486.591920663795,,
0.0403064623434521,487.106146768847,,
0.0406395736024889,486.716522661323,,
0.0409726848615257,486.199460715824,,
0.0413057961205625,485.554971711524,,
0.0416389073795993,485.168727645237,,
0.0419720186386361,484.844348358159,,
0.0423051298976729,484.50212826702,,
0.0426382411567097,484.428849777218,,
0.0429713524157465,484.426694402954,,
0.0433044636747833,484.994823029404,,
0.04363757493382,485.641526389535,,
0.0439706861928568,485.941210072749,,
0.0443037974518936,486.300154631626,,
0.0446369087109304,486.420511410298,,
0.0449700199699672,486.252838798834,,
0.045303131229004,485.66186932869,,
0.0456362424880408,484.672734367609,,
0.0459693537470776,484.317630810669,,
0.0463024650061144,484.561487975653,,
0.0466355762651512,484.829836661572,,
0.046968687524188,485.10227345716,,
0.0473017987832248,485.352619835944,,
0.0476349100422616,485.075006206788,,
0.0479680213012984,485.107298061706,,
0.0483011325603352,484.880108108086,,
0.048634243819372,484.77598343399,,
0.0489673550784087,485.189495297905,,
0.0493004663374456,486.129860435403,,
0.0496335775964823,486.226181540079,,
0.0499666888555191,486.60593902102,,
0.0502998001145559,486.391616726952,,
0.0506329113735927,486.382465037308,,
0.0509660226326295,486.212408104347,,
0.0512991338916663,485.390004893736,,
0.0516322451507031,485.018666846229,,
0.0519653564097399,484.799623062857,,
0.0522984676687767,484.650394786178,,
0.0526315789278135,484.48195671112,,
0.0529646901868503,484.080666023935,,
0.0532978014458871,484.440035879653,,
0.0536309127049239,485.105967135873,,
0.0539640239639607,485.32096217238,,
0.0542971352229975,485.147741882055,,
0.0546302464820343,485.641310342913,,
0.054963357741071,485.698262996064,,
0.0552964690001078,485.865664674866,,
0.0556295802591446,485.274022967566,,
0.0559626915181814,484.508058218937,,
0.0562958027772182,484.329037440551,,
0.056628914036255,484.298440010671,,
0.0569620252952918,483.817025596119,,
0.0572951365543286,483.609461481956,,
0.0576282478133654,483.343918841891,,
0.0579613590724022,483.036490482819,,
0.058294470331439,483.072593743092,,
0.0586275815904758,482.871941642422,,
0.0589606928495126,482.917989608645,,
0.0592938041085494,483.219905692671,,
0.0596269153675862,483.642567241099,,
0.059960026626623,483.425730003579,,
0.0602931378856598,483.497318925121,,
0.0606262491446966,483.499854182935,,
0.0609593604037333,483.546533114999,,
0.0612924716627701,483.159069154231,,
0.0616255829218069,482.955349018826,,
0.0619586941808437,483.225536567846,,
0.0622918054398805,483.524596228846,,
0.0626249166989173,483.500007962581,,
0.0629580279579541,483.766820991744,,
0.0632911392169909,484.352691780694,,
0.0636242504760277,485.138710580225,,
0.0639573617350645,485.981383764691,,
0.0642904729941013,486.120536269998,,
0.0646235842531381,486.49097073173,,
0.0649566955121749,486.86463430213,,
0.0652898067712117,487.599983649945,,
0.0656229180302485,488.204810166499,,
0.0659560292892853,488.647444401466,,
0.0662891405483221,488.66706744812,,
0.0666222518073589,488.74380111777,,
0.0669553630663956,489.143188111612,,
0.0672884743254324,489.637832684349,,
0.0676215855844692,489.852689091867,,
0.067954696843506,490.008022480336,,
0.0682878081025428,490.339357375179,,
0.0686209193615796,490.356816850189,,
0.0689540306206164,490.404220803239,,
0.0692871418796532,490.481386132538,,
0.06962025313869,490.221434643387,,
0.0699533643977268,490.3446016178,,
0.0702864756567636,490.384845841862,,
0.0706195869158004,490.099044675776,,
0.0709526981748372,489.865053114993,,
0.071285809433874,489.727944665274,,
